pl_name,pl_masse,pl_rade,pl_orbsmax,pl_orbincl,pl_trandep,st_teff,st_rad,st_radv,st_dist,st_optmag
Kepler-167 b,,1.615,0.048300,89.330,,4890.00,0.73,-29.30,330.00,14.023
Kepler-167 c,,1.548,0.068400,89.300,,4890.00,0.73,-29.30,330.00,14.023
Kepler-168 b,,1.460,0.056000,,,6282.00,1.11,,,14.606
Kepler-169 b,,1.130,0.040000,,,4997.00,0.76,,,14.194
Kepler-169 c,,1.210,0.062000,,,4997.00,0.76,,,14.194
Kepler-169 d,,1.250,0.075000,,,4997.00,0.76,,,14.194
Kepler-169 f,,2.580,0.359000,,,4997.00,0.76,,,14.194
Kepler-170 b,,3.200,0.080000,,,5679.00,1.03,,,14.387
Kepler-170 c,,2.860,0.131000,,,5679.00,1.03,,,14.387
Kepler-171 c,,2.560,0.098000,,,5642.00,0.84,,,14.883
Kepler-171 d,,1.890,0.223000,,,5642.00,0.84,,,14.883
Kepler-172 b,,2.350,0.040000,,,5526.00,1.08,,,14.532
Kepler-172 c,,2.860,0.068000,,,5526.00,1.08,,,14.532
Kepler-172 e,,2.760,0.211000,,,5526.00,1.08,,,14.532
Kepler-173 b,,1.290,0.048000,,,6031.00,0.95,,,14.209
Kepler-173 c,,2.430,0.074000,,,6031.00,0.95,,,14.209
Kepler-174 c,,1.490,0.214000,,,4880.00,0.62,,,14.287
Kepler-174 d,,2.190,0.677000,,,4880.00,0.62,,,14.287
Kepler-175 b,,2.560,0.105000,,,6064.00,1.01,,,14.939
Kepler-176 b,,1.430,0.058000,,,5232.00,0.89,,,14.550
Kepler-176 c,,2.600,0.102000,,,5232.00,0.89,,,14.550
Kepler-176 d,,2.510,0.163000,,,5232.00,0.89,,,14.550
Kepler-177 c,7.50000,7.100,,,,5942.00,1.07,,,15.000
Kepler-178 b,,2.900,0.085000,,,5676.00,1.07,,,14.598
Kepler-178 c,,2.880,0.142000,,,5676.00,1.07,,,14.598
Kepler-181 b,,1.270,0.040000,,,5333.00,0.75,,,14.707
Kepler-181 c,,1.990,0.049000,,,5333.00,0.75,,,14.707
Kepler-182 b,,2.580,0.096000,,,6250.00,1.15,,,14.896
Kepler-182 c,,3.430,0.157000,,,6250.00,1.15,,,14.896
Kepler-183 b,,2.060,0.064000,,,5888.00,0.96,,,14.943
Kepler-183 c,,2.270,0.103000,,,5888.00,0.96,,,14.943
Kepler-179 b,,1.640,0.036000,,,5302.00,0.76,-32.82,,14.613
Kepler-184 b,,2.360,0.092000,,,5788.00,0.87,,,14.338
Kepler-184 c,,1.970,0.141000,,,5788.00,0.87,,,14.338
Kepler-184 d,,2.490,0.179000,,,5788.00,0.87,,,14.338
Kepler-179 c,,2.000,0.064000,,,5302.00,0.76,-32.82,,14.613
Kepler-185 b,,1.170,0.026000,,,5208.00,0.81,,,14.458
Kepler-185 c,,2.020,0.139000,,,5208.00,0.81,,,14.458
Kepler-180 b,,1.500,0.109000,,,5731.00,1.06,,,14.350
Kepler-180 c,,3.010,0.229000,,,5731.00,1.06,,,14.350
Kepler-186 c,,1.250,0.045100,,,3755.00,0.52,,172.00,14.625
Kepler-186 d,,1.400,0.078100,,,3755.00,0.52,,172.00,14.625
Kepler-186 e,,1.270,0.110000,,,3755.00,0.52,,172.00,14.625
Kepler-187 b,,1.410,0.059000,,,6105.00,1.29,,,14.173
Kepler-187 c,,2.670,0.099000,,,6105.00,1.29,,,14.173
Kepler-188 b,,1.680,0.032000,,,6021.00,1.14,-8.36,,14.674
Kepler-189 b,,1.210,0.088000,,,5235.00,0.75,,,14.859
Kepler-189 c,,2.380,0.137000,,,5235.00,0.75,,,14.859
Kepler-190 b,,1.560,0.030000,,,5106.00,0.80,,,14.137
Kepler-196 b,,1.900,0.138000,,,5128.00,0.78,,,14.157
Kepler-197 b,,1.020,0.060000,,,6004.00,1.12,,,11.811
