Simulation:  trappist1e_1barN2_0.4barCO2_aq
Description: t#### -- effective temperature of star (K)
Description: s#### -- stellar flux at planet (W m-2)
Description: p#### -- orbital-rotational period (Earth days)
Description:  TRAPPIST-1e, 1 bar N2, 0.4 bar
Description: ANTISTELLAR HEMISPHERE MEAN vertical profile
Description: mass mixing ratios (kg/kg) relative to the moist air mass (i.e dry air mass + water vapor mass)
Description: pressure are total pressure (i.e  P_dry_air + P_h2o)
       surf press        surf temp      surf albedo        mw_dryair
     1405.9587402      283.4492188        0.0000000       32.5756416
lev           height(m)        press(mb)          temp(K)       N2 (kg/kg)      CO2 (kg/kg)      H2O (kg/kg)   liq_cld (kg/kg)  ice_cld (kg/kg)    reff_liq (µm)   reff_ice (µm)
  0       45324.5351562        0.9559475      177.3911591    6.1408246E-01    3.8591340E-01    4.0884697E-06    0.0000000E+00    3.5981196E-09           14.000            6.226
  1       43952.2890625        1.2447951      177.8432159    6.1408257E-01    3.8591346E-01    3.9651773E-06    0.0000000E+00    1.7115815E-08           14.000            6.272
  2       42600.1250000        1.6128501      178.9051056    6.1408263E-01    3.8591349E-01    3.8756589E-06    0.0000000E+00    2.4583169E-08           14.000            6.457
  3       41263.4726562        2.0793252      180.6445618    6.1408257E-01    3.8591349E-01    3.9082424E-06    0.0000000E+00    3.3943969E-08           14.000            6.841
  4       39938.5390625        2.6674249      182.8447876    6.1408252E-01    3.8591343E-01    4.0648392E-06    0.0000000E+00    3.3264573E-08           14.000            7.470
  5       38624.0898438        3.4048753      185.1203003    6.1408234E-01    3.8591334E-01    4.3139603E-06    0.0000000E+00    2.7672748E-08           14.000            8.315
  6       37321.2929688        4.3245749      187.2050018    6.1408222E-01    3.8591325E-01    4.5495417E-06    0.0000000E+00    2.1169157E-08           14.000            9.247
  7       36032.7734375        5.4653997      188.8999329    6.1408210E-01    3.8591316E-01    4.7265298E-06    0.0000000E+00    1.6427574E-08           14.000           10.097
  8       34761.7539062        6.8728499      190.1858826    6.1408198E-01    3.8591310E-01    4.8691513E-06    0.0000000E+00    1.4110062E-08           14.000           10.784
  9       33510.5859375        8.5997248      191.2952881    6.1408192E-01    3.8591307E-01    4.9968116E-06    0.0000000E+00    1.2845401E-08           14.000           11.411
 10       32279.3945312       10.7070494      192.6173401    6.1408186E-01    3.8591301E-01    5.1497059E-06    0.0000000E+00    1.1094959E-08           14.000           12.224
 11       31066.3359375       13.2647495      194.3902588    6.1408174E-01    3.8591293E-01    5.3648009E-06    0.0000000E+00    9.9274411E-09           14.000           13.431
 12       29869.4628906       16.3517513      196.5360107    6.1408162E-01    3.8591284E-01    5.5712658E-06    0.0000000E+00    8.4914156E-09           14.000           15.064
 13       28687.9277344       20.0567513      198.8166656    6.1408150E-01    3.8591281E-01    5.6561626E-06    0.0000000E+00    5.2383164E-09           14.000           17.007
