Simulation:  trappist1e_1barN2_0.4barCO2_aq
Description: t#### -- effective temperature of star (K)
Description: s#### -- stellar flux at planet (W m-2)
Description: p#### -- orbital-rotational period (Earth days)
Description:        TRAPPIST-1e, 1 bar N2, 0.4 bar CO2
Description: GLOBAL MEAN vertical profile
Description: mass mixing ratios (kg/kg) relative to the moist air mass (i.e dry air mass + water vapor mass)
Description: pressure are total pressure (i.e  P_dry_air + P_h2o)
       surf press        surf temp      surf albedo        mw_dryair
     1403.3409424      290.2369995        0.0939897       32.5756416
lev           height(m)        press(mb)          temp(K)       N2 (kg/kg)      CO2 (kg/kg)      H2O (kg/kg)   liq_cld (kg/kg)  ice_cld (kg/kg)    reff_liq (µm)   reff_ice (µm)
  0       45370.0507812        0.9559475      179.4734955    6.1408246E-01    3.8591340E-01    4.1036260E-06    0.0000000E+00    2.2634334E-09           14.000            6.648
  1       43985.2070312        1.2447951      179.0711975    6.1408257E-01    3.8591346E-01    3.9888159E-06    0.0000000E+00    1.2242413E-08           14.000            6.443
  2       42625.9804688        1.6128501      179.5711975    6.1408257E-01    3.8591349E-01    3.9132469E-06    0.0000000E+00    1.8922822E-08           14.000            6.552
  3       41284.5312500        2.0793252      181.2716370    6.1408257E-01    3.8591346E-01    3.9652032E-06    0.0000000E+00    2.6129756E-08           14.000            6.970
  4       39954.9609375        2.6674249      183.4894714    6.1408246E-01    3.8591340E-01    4.1371445E-06    0.0000000E+00    2.6577359E-08           14.000            7.672
  5       38636.3085938        3.4048753      185.6567993    6.1408228E-01    3.8591331E-01    4.3956129E-06    0.0000000E+00    2.2906299E-08           14.000            8.530
  6       37330.5898438        4.3245749      187.5161896    6.1408210E-01    3.8591322E-01    4.6277319E-06    0.0000000E+00    1.8717131E-08           14.000            9.386
  7       36040.8671875        5.4653997      188.9519653    6.1408210E-01    3.8591313E-01    4.7978915E-06    0.0000000E+00    1.5540909E-08           14.000           10.111
  8       34770.1640625        6.8728499      190.0470734    6.1408198E-01    3.8591310E-01    4.9348009E-06    0.0000000E+00    1.3759800E-08           14.000           10.693
  9       33520.0859375        8.5997248      191.1054382    6.1408186E-01    3.8591304E-01    5.0572949E-06    0.0000000E+00    1.2905224E-08           14.000           11.289
 10       32289.8281250       10.7070494      192.5118713    6.1408186E-01    3.8591298E-01    5.2016758E-06    0.0000000E+00    1.2604276E-08           14.000           12.154
 11       31076.9570312       13.2647495      194.4296417    6.1408174E-01    3.8591293E-01    5.3892518E-06    0.0000000E+00    1.2678062E-08           14.000           13.460
 12       29879.5214844       16.3517513      196.6764526    6.1408162E-01    3.8591284E-01    5.5719952E-06    0.0000000E+00    9.9865956E-09           14.000           15.178
 13       28697.1484375       20.0567513      198.9566956    6.1408150E-01    3.8591281E-01    5.6579629E-06    0.0000000E+00    5.1120730E-09           14.000           17.132
 14       27530.7792969       24.4789982      201.0876617    6.1408156E-01    3.8591284E-01    5.5916285E-06    0.0000000E+00    1.9416790E-09           14.000           19.144
 15       26382.1386719       29.7279987      202.9798889    6.1408162E-01    3.8591290E-01    5.4644761E-06    0.0000000E+00    1.1499396E-09           14.000           21.050
 16       25253.3789062       35.9232483      204.5510864    6.1408168E-01    3.8591290E-01    5.4361535E-06    0.0000000E+00    1.0500183E-09           14.000           22.659
 17       24146.9707031       43.1937485      205.7290802    6.1408162E-01    3.8591287E-01    5.4866732E-06    0.0000000E+00    9.0708263E-10           14.000           23.842
 18       23065.6015625       51.6775017      206.4279633    6.1408162E-01    3.8591284E-01    5.5617734E-06    0.0000000E+00    6.9397987E-10           14.000           24.503
 19       22012.1230469       61.5204964      206.5818634    6.1408150E-01    3.8591281E-01    5.6415929E-06    0.0000000E+00    7.1018430E-10           14.000           24.577
 20       20989.1699219       72.8745041      206.2654724    6.1408150E-01    3.8591278E-01    5.7166621E-06    0.0000000E+00    1.0443609E-09           14.000           24.139
 21       19805.2519531       88.6929092      205.7694397    6.1408138E-01    3.8591275E-01    5.8204555E-06    1.7220703E-31    7.0316530E-09           14.000           23.486
 22       18498.3261719      110.1576462      206.3725586    6.1408108E-01    3.8591254E-01    6.3844118E-06    4.1340479E-27    1.3149558E-07           14.000           23.941
 23       17229.4003906      135.6662903      209.9360046    6.1407918E-01    3.8591135E-01    9.4680763E-06    5.2535079E-25    5.1352231E-07           14.000           27.570
 24       15984.3593750      165.6758881      215.7397308    6.1407340E-01    3.8590771E-01    1.8895345E-05    2.2967295E-24    1.0130728E-06           14.000           32.099
 25       14745.0292969      200.9806519      222.5589142    6.1406028E-01    3.8589945E-01    4.0235398E-05    7.5287544E-24    1.4521194E-06           14.000           35.727
 26       13501.7470703      242.5148468      229.5858307    6.1403584E-01    3.8588411E-01    8.0065605E-05    8.4541348E-08    1.9454278E-06           14.000           40.479
 27       12249.8222656      291.3776855      236.3695374    6.1399460E-01    3.8585815E-01    1.4730448E-04    1.5630573E-06    3.5575836E-06           14.000           48.631
 28       10986.8349609      348.8623352      242.8537292    6.1393023E-01    3.8581774E-01    2.5199336E-04    4.2504375E-06    3.4569161E-06           14.000           66.571
 29        9710.4882812      416.4899597      249.2917786    6.1382729E-01    3.8575304E-01    4.1965375E-04    9.0994627E-06    2.9048217E-06           14.000           92.357
 30        8418.1142578      496.0503845      255.7884369    6.1365920E-01    3.8564742E-01    6.9338892E-04    1.4121647E-05    2.0681739E-06           14.000          123.459
 31        7106.5771484      589.6491089      262.5984802    6.1339420E-01    3.8548088E-01    1.1249271E-03    1.4963902E-05    1.2135672E-06           14.000          164.285
 32        5771.8544922      699.7631226      269.9743958    6.1304325E-01    3.8526028E-01    1.6964963E-03    1.2363388E-05    4.4548514E-07           14.000          211.694
 33        4410.7197266      829.3066406      277.5049133    6.1262178E-01    3.8499543E-01    2.3827783E-03    7.4332947E-06    7.8043868E-08           14.000          232.642
 34        3143.1472168      967.7719727      283.9494324    6.1214626E-01    3.8469657E-01    3.1572036E-03    6.2331724E-06    1.9158605E-08           14.000          240.843
 35        2082.5368652     1098.5190430      288.4949341    6.1140299E-01    3.8422954E-01    4.3674475E-03    5.5536370E-06    2.7114777E-09           14.000          243.544
 36        1243.8487549     1212.8022461      291.0279541    6.1056626E-01    3.8370371E-01    5.7300171E-03    5.6433769E-06    6.8646195E-13           14.000          244.528
 37         634.4202271     1302.6770020      291.8139343    6.0984886E-01    3.8325283E-01    6.8983384E-03    6.5889203E-06    1.0966829E-27           14.000          245.099
 38         257.5670166     1361.5108643      291.1093140    6.0945714E-01    3.8300666E-01    7.5362260E-03    7.2688526E-06    5.4681689E-16           14.000          245.417
 39          63.5490189     1392.8946533      290.6786499    6.0932839E-01    3.8292578E-01    7.7457731E-03    6.3316429E-06    1.8217624E-11           14.000          245.488
