Simulation:  trappist1e_1barN2_0.4barCO2_aq
Description: t#### -- effective temperature of star (K)
Description: s#### -- stellar flux at planet (W m-2)
Description: p#### -- orbital-rotational period (Earth days)
Description:  TRAPPIST-1e, 1 bar N2, 0.4 bar
Description: SUBSTELLAR HEMISPHERE MEAN vertical profile
Description: mass mixing ratios (kg/kg) relative to the moist air mass (i.e dry air mass + water vapor mass)
Description: pressure are total pressure (i.e  P_dry_air + P_h2o)
       surf press        surf temp      surf albedo        mw_dryair
     1400.5736084      297.4127197        0.0939897       32.5756416
lev           height(m)        press(mb)          temp(K)       N2 (kg/kg)      CO2 (kg/kg)      H2O (kg/kg)   liq_cld (kg/kg)  ice_cld (kg/kg)    reff_liq (µm)   reff_ice (µm)
  0       45418.1679688        0.9559475      181.6748657    6.1408246E-01    3.8591340E-01    4.1196486E-06    0.0000000E+00    8.5245633E-10           14.000            7.094
  1       44020.0039062        1.2447951      180.3693695    6.1408257E-01    3.8591343E-01    4.0138061E-06    0.0000000E+00    7.0904473E-09           14.000            6.624
  2       42653.3125000        1.6128501      180.2753754    6.1408257E-01    3.8591346E-01    3.9529832E-06    0.0000000E+00    1.2938927E-08           14.000            6.653
  3       41306.7929688        2.0793252      181.9345398    6.1408252E-01    3.8591343E-01    4.0254199E-06    0.0000000E+00    1.7868880E-08           14.000            7.106
  4       39972.3164062        2.6674249      184.1710205    6.1408240E-01    3.8591337E-01    4.2135821E-06    0.0000000E+00    1.9507903E-08           14.000            7.885
  5       38649.2265625        3.4048753      186.2239838    6.1408228E-01    3.8591325E-01    4.4819326E-06    0.0000000E+00    1.7867398E-08           14.000            8.757
  6       37340.4140625        4.3245749      187.8451843    6.1408210E-01    3.8591319E-01    4.7103917E-06    0.0000000E+00    1.6124945E-08           14.000            9.534
  7       36049.4218750        5.4653997      189.0069885    6.1408198E-01    3.8591310E-01    4.8733318E-06    0.0000000E+00    1.4603562E-08           14.000           10.126
  8       34779.0585938        6.8728499      189.9003448    6.1408192E-01    3.8591307E-01    5.0042026E-06    0.0000000E+00    1.3389518E-08           14.000           10.597
  9       33530.1289062        8.5997248      190.9047241    6.1408186E-01    3.8591301E-01    5.1212351E-06    0.0000000E+00    1.2968467E-08           14.000           11.161
